[INFO] 2022-06-17 69:60:60 | POST rr: UC {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | UC {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-17 14:05:46 | POST rr: UC {lea_kalmar} 
[INFO] 2022-06-17 14:05:47 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:05:47 | UC {lea_kalmar} 
[INFO] 2022-06-17 14:05:47 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:05:48 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:06:30 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:06:31 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:06:36 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:07:38 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-17 14:17:29 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-17 14:31:21 | POST rr: UC {lea_kalmar} 
[INFO] 2022-06-17 14:31:21 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:31:22 | UC {lea_kalmar} 
[INFO] 2022-06-17 14:31:22 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:31:22 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:31:41 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:31:41 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:31:45 | SS-RU {lea_kalmar} 
[INFO] 2022-06-17 14:32:31 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-17 14:36:46 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-17 14:36:47 | UU {lea_kalmar} 
[INFO] 2022-06-17 16:05:05 | POST rr: UC {lea} 
[INFO] 2022-06-17 16:05:47 | POST rr: UC {lea} 
[INFO] 2022-06-17 16:06:45 | POST rr: UC {lea} 
[INFO] 2022-06-17 16:16:27 | POST rr: UC {lea} 
[INFO] 2022-06-17 16:26:06 | POST rr: UC {lea} 
[INFO] 2022-06-17 16:39:47 | POST rr: UC {lea} 
[INFO] 2022-06-17 16:46:08 | POST rr: UC {lea} 
[INFO] 2022-06-17 16:51:40 | POST rr: UC {lea} 
