[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 14:00:38 | IC 
[ERROR] 2022-06-17 14:00:45 | IC 
[ERROR] 2022-06-17 14:00:48 | IC 
[ERROR] 2022-06-17 14:00:52 | IC 
[ERROR] 2022-06-17 14:00:55 | IC 
[ERROR] 2022-06-17 14:29:08 | IC 
[ERROR] 2022-06-17 14:29:17 | IC 
[ERROR] 2022-06-17 14:29:21 | IC 
[ERROR] 2022-06-17 16:03:52 | IC 
[ERROR] 2022-06-17 16:04:00 | IC 
[ERROR] 2022-06-17 16:04:06 | IC 
[ERROR] 2022-06-17 16:04:13 | IC 
[ERROR] 2022-06-17 16:14:37 | IC 
[ERROR] 2022-06-17 16:14:44 | IC 
[ERROR] 2022-06-17 16:14:49 | IC 
[ERROR] 2022-06-17 16:14:56 | IC 
[ERROR] 2022-06-17 16:38:40 | IC 
[ERROR] 2022-06-17 16:38:43 | IC 
