[INFO] 2022-06-17 69:60:60 | FOSC 
[INFO] 2022-06-17 69:60:60 | SC 
[INFO] 2022-06-17 69:60:60 | IC 
[INFO] 2022-06-17 69:60:60 | DC 
[INFO] 2022-06-17 69:60:60 | CUD {9cc835be-df42-4e3e-b703-b8c70b8bc2a7} 
[INFO] 2022-06-17 69:60:60 | POST rr: EC {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | EC {62ac827156aa2cba7ea2f22c} 
[INFO] 2022-06-17 69:60:60 | PUT rr: EU {lea_kalmar} 
[INFO] 2022-06-17 69:60:60 | EU {000000000000000000000000} 
[INFO] 2022-06-17 14:00:48 | FOSC 
[INFO] 2022-06-17 14:00:49 | SC 
[INFO] 2022-06-17 14:00:49 | IC 
[INFO] 2022-06-17 14:00:50 | DC 
[INFO] 2022-06-17 14:05:48 | CUD {51731487-79e0-4691-bac7-c50eb1fb9b79} 
[INFO] 2022-06-17 14:26:41 | FOSC 
[INFO] 2022-06-17 14:26:41 | SC 
[INFO] 2022-06-17 14:26:41 | IC 
[INFO] 2022-06-17 14:26:41 | DC 
[INFO] 2022-06-17 14:29:15 | FOSC 
[INFO] 2022-06-17 14:29:15 | SC 
[INFO] 2022-06-17 14:29:15 | IC 
[INFO] 2022-06-17 14:29:16 | DC 
[INFO] 2022-06-17 14:31:22 | CUD {46f96812-b4d7-4292-a362-1c5c007e3022} 
